num,Gender,Age,SBSA1,SBSA2,SBSA3,SBSA4,SBSA5,SBSA6,SBSA7,SBSA8,SBSA9,SBSA10,SBSA11,SBSA12,SBSA13,SBSA14,SBSA15
1,2,20,3,3,4,1,3,5,8,1,0,2,0,2,6,1,0
2,2,21,5,0,0,9,0,0,4,0,0,0,0,2,0,0,0
3,2,19,7,7,7,8,8,7,5,5,7,5,2,2,5,3,3
4,2,21,8,8,5,3,2,3,6,7,8,7,3,3,2,5,3
5,2,21,5,5,4,5,3,5,5,3,5,3,9,9,6,5,5
6,2,21,0,0,5,8,0,4,0,0,0,0,0,0,0,0,0
7,2,22,4,0,0,6,3,2,9,0,0,0,5,0,0,0,3
8,2,22,5,3,2,1,2,2,5,7,3,2,0,0,1,0,0
9,2,20,0,2,0,7,0,1,10,0,0,0,0,3,0,0,0
10,2,19,8,0,8,7,8,0,10,5,0,6,5,0,7,0,8
11,1,21,5,8,3,6,6,3,7,6,4,5,3,7,5,2,3
12,1,20,0,0,0,9,7,0,10,0,0,0,0,0,0,0,0
13,1,21,2,5,2,6,9,7,8,8,2,2,0,4,0,1,0
14,1,20,3,6,2,5,7,1,8,1,1,5,2,2,4,2,3
15,1,20,2,1,3,4,4,1,5,5,1,3,3,5,3,1,3
16,2,20,3,4,0,5,3,1,9,0,1,0,4,0,0,0,3
17,1,20,1,1,1,1,0,0,7,0,0,1,2,1,0,0,3
18,2,20,6,2,2,3,1,0,8,3,0,4,7,4,7,0,8
19,2,21,5,2,7,5,2,3,4,2,4,5,5,4,4,3,5
20,1,21,1,0,2,6,1,0,7,2,0,0,7,5,3,1,7
21,1,21,8,0,0,6,4,0,7,5,0,2,7,1,1,0,3
22,1,20,3,3,2,4,2,0,4,4,0,0,2,0,1,0,0
23,1,20,10,5,0,10,7,4,8,8,6,5,3,4,10,4,10
24,2,21,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0
25,1,21,7,6,7,8,5,4,8,8,4,8,9,7,5,3,6
26,2,20,4,7,2,4,3,5,2,3,5,2,2,2,5,3,1
27,1,20,1,1,1,1,0,0,7,0,0,1,2,1,0,0,3
28,2,19,2,1,0,9,5,0,5,8,0,0,0,0,0,0,0
29,1,20,1,1,0,5,1,1,8,1,0,0,0,0,0,0,0
30,2,21,1,1,0,9,1,0,1,1,1,1,1,1,1,1,1
31,1,20,0,0,0,5,2,0,10,4,0,5,5,4,3,0,3
32,1,20,3,2,8,4,5,0,7,3,2,3,7,3,3,3,5
33,1,20,4,8,9,8,4,2,10,5,2,8,9,2,2,2,9
34,1,20,0,1,0,0,2,0,8,1,0,0,0,0,0,0,0
35,2,20,4,2,0,5,5,1,8,7,5,0,5,2,0,0,0
36,1,24,3,2,2,4,3,2,10,8,0,10,10,6,5,5,8
37,1,21,5,3,3,8,7,5,7,8,4,6,7,6,5,4,5
38,2,21,5,6,4,5,7,5,7,5,4,3,2,4,5,4,2
39,2,21,3,0,1,5,0,0,3,0,0,0,3,0,1,0,1
40,1,20,2,2,1,7,2,0,8,4,0,0,4,2,2,0,4
41,1,21,3,3,4,5,4,4,3,4,3,4,4,5,6,5,5
42,1,21,5,5,4,2,4,4,5,6,0,0,0,6,3,0,1
43,2,20,3,2,1,6,1,2,5,2,3,3,0,3,6,5,5
44,1,20,4,2,4,6,6,1,7,3,1,4,3,3,3,2,5
45,2,20,1,1,0,8,0,1,8,1,0,0,1,1,1,0,1
46,2,21,2,0,0,1,1,0,8,3,0,0,8,0,1,0,4
47,1,20,0,0,2,8,5,0,8,0,0,0,0,0,0,0,0
48,2,20,4,2,6,8,7,2,7,5,2,3,3,2,2,2,1
49,2,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,21,2,8,6,2,2,1,1,1,1,1,0,0,0,2,0
51,1,20,1,0,0,9,0,0,7,0,0,0,10,0,0,0,10
52,2,21,4,6,8,9,10,6,10,5,5,4,8,1,1,0,9
53,2,19,3,3,2,3,2,2,4,2,1,2,2,3,2,2,2
54,2,20,3,3,3,5,3,2,5,2,2,2,3,3,4,3,4
55,1,21,4,2,0,8,0,3,5,0,0,2,5,0,0,0,5
56,2,21,5,3,4,4,5,3,8,7,3,5,4,5,4,3,1
57,1,20,2,1,1,8,5,1,6,2,1,3,6,2,0,0,0
58,2,21,6,4,3,5,6,2,5,4,3,4,3,7,4,3,2
59,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,20,5,10,10,7,8,2,10,2,2,1,6,3,2,1,5
61,2,20,4,1,5,7,0,0,8,6,0,6,8,7,5,0,6
62,2,21,2,1,0,0,0,0,5,0,0,2,2,0,0,0,0
63,2,20,5,1,0,5,2,0,4,0,0,0,0,0,1,0,0
64,2,21,5,0,0,7,2,0,4,1,0,2,3,3,2,0,0
65,2,21,0,0,0,4,1,0,6,0,0,0,0,0,0,0,4
66,1,21,0,5,0,8,3,5,3,4,5,4,3,4,5,7,4
67,2,21,1,0,0,5,1,0,9,6,0,0,1,0,5,0,6
68,1,21,5,0,0,8,0,0,3,2,0,5,0,0,5,0,0
69,1,20,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0
70,2,20,1,6,0,8,3,0,0,0,0,0,2,0,0,0,7
71,1,20,3,1,4,7,4,1,8,5,2,2,3,5,3,1,3
72,1,21,5,2,2,5,4,2,7,3,3,5,4,4,3,3,4
73,2,21,7,4,0,7,0,0,3,8,0,3,0,0,2,0,5
74,1,21,0,3,0,8,0,0,6,0,0,0,0,1,0,0,0
75,2,20,2,0,0,8,4,0,10,3,0,0,8,1,0,0,8
76,2,21,6,3,2,5,4,2,5,4,3,5,5,3,3,3,5
77,1,20,2,5,0,5,0,0,10,2,0,0,3,3,0,2,0
78,2,20,4,6,3,5,5,2,6,6,4,4,3,3,6,2,4
79,1,21,4,1,0,5,1,1,7,5,1,0,3,1,0,0,3
80,1,20,5,7,9,9,0,2,10,6,1,4,0,0,4,1,0
81,1,20,3,0,3,5,3,5,8,1,0,3,8,5,0,3,5
82,1,20,3,1,1,8,5,2,8,0,1,2,1,0,0,1,8
83,1,21,3,2,8,8,2,2,2,2,2,2,1,1,1,1,3
84,2,22,6,3,5,10,0,0,10,0,0,0,10,0,0,0,10
85,2,20,2,2,0,8,0,0,1,0,0,2,0,2,1,1,0
86,2,21,3,1,1,1,1,1,3,2,3,4,3,4,1,1,1
87,2,20,3,3,3,8,1,3,9,7,2,7,9,3,4,1,5
88,2,20,5,4,3,5,6,4,6,3,3,6,6,3,3,2,7
89,2,21,3,0,5,7,3,2,8,3,2,5,0,3,2,2,0
90,2,20,0,0,0,5,0,0,1,1,1,0,1,1,0,0,0
91,1,21,0,1,0,8,5,2,9,1,1,0,0,0,0,0,0
92,1,21,5,2,5,4,8,0,8,5,0,2,5,5,5,1,1
93,2,20,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0
94,2,22,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0
95,2,20,3,4,8,3,3,4,8,3,4,5,1,2,0,1,1
96,2,20,5,5,7,7,4,2,3,6,2,5,4,6,4,5,4
97,1,20,6,3,5,5,5,4,6,6,5,6,8,6,5,4,5
98,2,20,0,0,0,3,2,0,4,3,0,0,3,1,0,0,0
99,1,21,3,4,9,6,5,5,6,10,5,7,7,6,2,2,1
100,1,20,10,0,0,0,5,0,10,3,2,4,0,0,5,0,0
101,2,20,2,2,0,8,3,0,8,0,0,0,6,5,1,0,4
102,1,20,7,4,3,8,1,1,8,8,2,1,2,2,8,2,5
103,1,21,6,2,4,8,4,2,8,4,3,5,5,4,7,5,5
104,1,20,0,0,0,10,0,0,10,0,0,0,0,0,0,0,5
105,2,19,8,8,7,8,6,5,7,8,6,6,4,6,8,6,2
106,2,20,4,2,1,8,0,0,8,5,0,0,1,1,3,0,0
107,2,20,2,0,0,1,1,0,1,0,1,1,3,2,2,2,2
108,1,21,6,2,3,9,7,3,9,6,3,5,9,5,7,3,7
109,1,23,3,2,1,8,5,5,7,4,1,4,5,4,4,2,0
110,2,20,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,22,0,0,1,6,0,2,9,1,0,0,7,5,0,0,8
112,1,21,2,5,0,5,0,5,2,5,9,8,8,5,5,5,7
113,1,20,2,1,2,2,1,2,2,1,3,2,3,1,1,2,1
114,1,20,4,1,2,7,5,2,9,3,3,3,0,3,2,2,0
115,2,20,0,0,0,4,0,0,3,0,0,0,2,0,2,0,1
116,1,20,4,7,0,0,4,4,5,3,7,4,3,3,5,4,3
117,1,20,4,3,8,8,8,2,7,8,1,7,8,7,5,2,6
118,1,21,4,0,7,7,0,2,10,7,5,0,5,5,5,0,1
119,2,19,5,7,4,2,2,5,2,5,6,4,4,4,5,5,3
120,1,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
121,2,20,2,7,5,2,7,6,10,6,6,8,6,5,3,5,5
122,2,20,7,8,3,5,0,2,2,5,5,2,0,2,0,2,0
123,1,21,5,4,3,8,7,2,9,5,2,3,5,4,4,1,5
124,1,21,5,10,10,10,10,10,10,5,0,1,5,1,0,0,0
125,2,20,4,3,0,0,0,4,0,8,0,0,0,4,7,0,0
126,1,21,3,3,1,3,3,3,3,4,5,6,4,4,3,4,3
127,2,20,5,3,0,5,2,1,5,1,1,0,3,4,2,0,2
128,1,21,10,6,0,10,0,0,10,10,1,0,0,6,2,3,0
129,2,20,0,1,0,5,4,0,8,5,0,0,8,0,5,0,7
130,1,21,0,2,0,5,0,0,10,0,1,0,2,1,0,0,0
